day,version,system,python_version,installer,downloads
2026-04-07,0.1.4,Windows,3.14.3,pip,2
2026-04-01,0.1.4,Linux,3.7.17,pip,1
2026-03-18,0.1.4,Linux,3.13.12,pip,2
2026-03-14,0.1.4,Linux,3.7.17,pip,1
2026-02-02,0.1.4,Linux,3.7.17,pip,1
2026-02-01,0.1.4,Linux,3.7.17,pip,1
2026-01-27,0.1.4,Linux,3.7.17,pip,1
2026-01-23,0.1.4,Linux,3.7.17,pip,1
2026-01-20,0.1.4,Windows,3.11.0,pip,2
2026-01-15,0.1.4,Linux,3.13.5,pip,2
2026-01-12,0.1.4,Linux,3.14.2,pip,2
2026-01-12,0.1.4,Windows,3.13.9,pip,2
2026-01-09,0.1.4,Linux,3.9.6,pip,1
2025-12-27,0.1.4,Linux,3.7.17,pip,1
2025-12-24,0.1.4,Linux,3.7.17,pip,1
2025-12-22,0.1.4,Windows,3.13.5,pip,2
2025-12-21,0.1.4,Linux,3.10.12,pip,1
2025-12-19,0.1.4,Windows,3.13.2,pip,2
2025-12-18,0.1.4,Windows,3.12.10,pip,2
2025-12-16,0.1.4,Linux,3.9.6,pip,1
2025-12-13,0.1.4,Linux,3.7.17,pip,1
2025-12-11,0.1.4,Linux,3.11.14,pip,2
2025-12-10,0.1.4,Linux,3.7.17,pip,1
2025-11-30,0.1.4,Linux,3.7.17,pip,1
2025-11-26,0.1.4,Linux,3.7.17,pip,1
2025-11-23,0.1.4,Linux,3.7.4,pip,1
2025-11-21,0.1.4,Linux,3.7.4,pip,1
2025-11-18,0.1.4,Linux,3.7.4,pip,1
2025-11-16,0.1.4,Linux,3.7.4,pip,1
2025-11-12,0.1.4,Linux,3.7.4,pip,1
2025-11-11,0.1.4,Linux,3.7.4,pip,1
2025-11-05,0.1.4,Linux,3.13.9,pip,2
2025-11-03,0.1.4,Linux,3.7.4,pip,1
2025-11-02,0.1.4,Linux,3.11.6,pip,2
2025-10-31,0.1.4,Linux,3.11.6,pip,2
2025-10-30,0.1.4,Linux,3.7.4,pip,1
2025-10-28,0.1.4,Linux,3.7.4,pip,1
2025-10-25,0.1.4,Linux,3.7.4,pip,1
2025-10-21,0.1.4,Linux,3.13.5,pip,2
2025-10-20,0.1.4,Linux,3.11.6,pip,2
2025-10-19,0.1.4,Linux,3.7.4,pip,1
2025-10-16,0.1.4,Linux,3.11.6,pip,2
2025-09-27,0.1.4,Linux,3.7.4,pip,1
2025-09-26,0.1.4,Linux,3.7.4,pip,1
2025-09-22,0.1.4,Linux,3.12.3,pip,2
2025-09-18,0.1.4,Linux,3.7.4,pip,1
2025-09-15,0.1.4,Darwin,3.12.6,pip,2
2025-09-10,0.1.4,Linux,3.7.4,pip,1
2025-09-07,0.1.4,Linux,3.12.3,pip,2
2025-09-05,0.1.4,Linux,3.7.4,pip,1
2025-09-02,0.1.4,Linux,3.7.4,pip,1
2025-08-31,0.1.4,Linux,3.7.4,pip,1
2025-08-29,0.1.4,Linux,3.7.4,pip,1
2025-08-27,0.1.4,Linux,3.7.4,pip,1
2025-08-25,0.1.4,Linux,3.7.4,pip,1
2025-08-21,0.1.4,Linux,3.7.4,pip,1
2025-08-18,0.1.4,Linux,3.7.4,pip,1
2025-08-14,0.1.4,Linux,3.7.4,pip,1
2025-08-11,0.1.4,Linux,3.7.4,pip,1
2025-08-05,0.1.4,Linux,3.7.4,pip,1
2025-08-05,0.1.4,Linux,3.12.0,pip,2
2025-08-03,0.1.4,Linux,3.10.18,pip,2
2025-08-02,0.1.4,Linux,3.12.0,pip,2
2025-07-13,0.1.4,Linux,3.7.4,pip,1
2025-07-08,0.1.4,Windows,3.10.11,pip,2
2025-07-05,0.1.4,Linux,3.7.4,pip,1
2025-06-30,0.1.4,Linux,3.7.4,pip,1
2025-06-24,0.1.4,Linux,3.11.8,pip,1
2025-06-24,0.1.4,Linux,3.7.4,pip,1
2025-06-22,0.1.4,Linux,3.7.4,pip,1
2025-06-19,0.1.4,Linux,3.7.4,pip,1
2025-06-17,0.1.4,Linux,3.7.4,pip,1
2025-06-15,0.1.4,Linux,3.7.4,pip,1
2025-06-14,0.1.4,Windows,3.13.5,pip,2
2025-06-14,0.1.4,Linux,3.7.4,pip,1
2025-06-12,0.1.4,Linux,3.7.4,pip,1
2025-06-06,0.1.4,Linux,3.10.12,pip,1
2025-06-05,0.1.4,Linux,3.7.4,pip,1
2025-06-02,0.1.4,Linux,3.7.4,pip,1
2025-06-01,0.1.4,Linux,3.7.4,pip,1
2025-05-24,0.1.4,Linux,3.12.3,pip,2
2025-05-21,0.1.4,Linux,3.12.3,pip,2
2025-05-08,0.1.4,Linux,3.7.4,pip,1
2025-05-07,0.1.4,Linux,3.12.3,pip,2
2025-05-07,0.1.4,Linux,3.11.11,pip,2
2025-04-30,0.1.4,Linux,3.7.4,pip,1
2025-04-03,0.1.4,Windows,3.13.2,pip,2
2025-04-03,0.1.4,Windows,3.13.0,pip,2
2025-04-03,0.1.4,Linux,3.7.4,pip,1
2025-04-02,0.1.4,Linux,3.7.4,pip,1
2025-04-02,0.1.4,Linux,3.12.2,pip,2
2025-03-27,0.1.4,Linux,3.7.4,pip,1
2025-03-19,0.1.4,Linux,3.7.4,pip,1
2025-03-11,0.1.4,Linux,3.10.12,pip,1
2025-03-05,0.1.4,Linux,3.9.18,pip,2
2025-02-27,0.1.4,Linux,3.10.12,pip,1
2025-02-25,0.1.4,Linux,3.7.3,pip,1
2025-02-16,0.1.4,Linux,3.11.0,pip,1
2025-02-11,0.1.4,Linux,3.9.6,pip,1
2025-02-09,0.1.4,Linux,3.10.12,pip,1
2025-02-05,0.1.4,Linux,3.10.12,pip,1
2025-02-04,0.1.4,Linux,3.11.0,pip,1
2025-02-04,0.1.4,Linux,3.10.12,pip,1
2025-01-25,0.1.4,Linux,3.7.4,pip,1
2025-01-22,0.1.4,Linux,3.7.4,pip,1
2025-01-19,0.1.4,Linux,3.7.4,pip,1
2025-01-11,0.1.4,Linux,3.7.4,pip,1
2025-01-04,0.1.4,Linux,3.7.4,pip,1
2024-12-29,0.1.4,Linux,3.7.4,pip,1
2024-12-25,0.1.4,Windows,3.12.7,pip,2
2024-12-22,0.1.4,Linux,3.7.4,pip,1
2024-12-19,0.1.4,Linux,3.9.9,pip,2
2024-12-18,0.1.4,Linux,3.11.2,pip,2
2024-12-10,0.1.4,Linux,3.7.4,pip,1
2024-11-22,0.1.4,Windows,3.13.0,pip,2
2024-11-22,0.1.4,Linux,3.7.4,pip,1
2024-11-13,0.1.4,Linux,3.7.4,pip,1
2024-11-08,0.1.4,Linux,3.7.4,pip,1
2024-11-05,0.1.4,Linux,3.10.15,pip,2
2024-10-30,0.1.4,Darwin,3.11.4,pip,1
2024-10-27,0.1.4,Linux,3.10.15,pip,2
2024-10-26,0.1.4,Linux,3.10.12,pip,2
2024-10-25,0.1.4,Linux,3.10.15,pip,2
2024-10-24,0.1.4,Linux,3.7.4,pip,1
2024-10-24,0.1.4,Linux,3.12.3,pip,2
2024-10-21,0.1.4,Linux,3.12.7,uv,1
2024-10-18,0.1.4,Linux,3.10.14,pip,1
2024-10-18,0.1.4,Windows,3.10.9,pip,2
2024-10-18,0.1.4,Linux,3.12.7,uv,2
2024-10-18,0.1.4,Linux,3.11.8,pip,2
2024-10-16,0.1.4,Linux,3.10.15,pip,2
2024-10-16,0.1.4,Linux,3.7.4,pip,1
2024-10-12,0.1.4,Linux,3.7.4,pip,1
2024-10-11,0.1.4,Linux,3.9.18,pip,1
2024-10-08,0.1.4,Linux,3.7.4,pip,1
2024-10-06,0.1.4,Linux,3.7.4,pip,1
2024-10-03,0.1.4,Linux,3.7.4,pip,1
2024-09-27,0.1.4,Linux,3.7.4,pip,1
2024-09-25,0.1.4,Linux,3.7.4,pip,1
2024-09-20,0.1.4,Linux,3.7.4,pip,1
2024-09-18,0.1.4,Linux,3.10.12,pip,2
2024-09-12,0.1.4,Linux,3.7.4,pip,1
2024-09-10,0.1.4,Linux,3.12.5,pip,2
2024-09-01,0.1.4,Linux,3.10.12,pip,2
2024-08-31,0.1.4,Linux,3.9.6,pip,1
2024-08-28,0.1.4,Linux,3.7.4,pip,1
2024-08-20,0.1.4,Linux,3.9.19,pip,1
2024-08-17,0.1.4,Linux,3.9.6,pip,1
2024-08-16,0.1.4,Linux,3.9.18,pip,1
2024-08-13,0.1.4,Linux,3.10.12,pip,4
2024-08-11,0.1.4,Linux,3.9.18,pip,1
2024-08-09,0.1.4,Linux,3.12.3,pip,2
2024-08-09,0.1.4,Linux,3.10.12,pip,1
2024-08-08,0.1.4,Linux,3.12.3,pip,2
2024-08-08,0.1.4,Linux,3.7.4,pip,1
2024-08-06,0.1.4,Linux,3.7.4,pip,1
2024-07-27,0.1.4,Linux,3.7.4,pip,1
2024-07-26,0.1.4,Linux,3.7.4,pip,1
2024-07-22,0.1.4,Linux,3.7.4,pip,1
2024-07-19,0.1.4,Windows,3.10.11,pip,2
2024-07-17,0.1.4,Linux,3.7.4,pip,1
2024-06-29,0.1.4,Linux,3.7.4,pip,1
2024-06-28,0.1.4,Linux,3.7.4,pip,1
2024-06-20,0.1.4,Linux,3.7.4,pip,1
2024-06-17,0.1.4,Darwin,3.11.6,pip,2
2024-06-08,0.1.4,Linux,3.7.4,pip,1
2024-06-07,0.1.4,Linux,3.10.12,pip,1
2024-05-27,0.1.4,Linux,3.7.4,pip,1
2024-05-12,0.1.4,Linux,3.7.4,pip,1
2024-05-06,0.1.4,Linux,3.7.4,pip,1
2024-05-01,0.1.4,Linux,3.10.14,pip,2
2024-04-30,0.1.4,Linux,3.7.4,pip,1
2024-04-29,0.1.4,Linux,3.7.4,pip,1
2024-04-28,0.1.4,Darwin,3.10.6,pip,2
2024-04-23,0.1.4,Linux,3.10.12,pip,1
2024-04-16,0.1.4,Linux,3.7.4,pip,1
2024-04-12,0.1.4,Linux,3.7.4,pip,1
2024-04-03,0.1.4,Linux,3.7.4,pip,1
2024-04-03,0.1.4,Linux,3.10.12,pip,1
2024-04-03,0.1.4,Windows,3.9.10,pip,1
2024-03-31,0.1.4,Windows,3.12.2,pip,2
2024-03-28,0.1.4,Windows,3.12.2,pip,2
2024-03-17,0.1.4,Linux,3.8.10,pip,1
2024-03-12,0.1.4,Linux,3.7.4,pip,1
2024-03-03,0.1.4,Linux,3.7.4,pip,1
2024-02-29,0.1.4,Linux,3.8.10,pip,1
2024-02-28,0.1.4,Linux,3.11.8,pip,1
2024-02-28,0.1.4,Linux,3.7.4,pip,1
2024-02-07,0.1.4,Darwin,3.11.4,pip,1
2024-02-02,0.1.4,Linux,3.11.7,pip,3
2024-02-02,0.1.4,Darwin,3.11.6,pip,1
2024-01-30,0.1.4,Darwin,3.9.6,pip,2
2024-01-30,0.1.4,Darwin,3.11.4,pip,1
2024-01-29,0.1.4,Darwin,3.9.6,pip,1
