day,version,system,python_version,installer,downloads
2026-05-01,0.1.2,Windows,3.14.4,pip,1
2026-05-01,0.1.2,Linux,3.12.3,pip,2
2026-04-24,0.1.2,Linux,3.12.3,uv,2
2026-04-24,0.1.2,Linux,3.12.3,pip,6
2026-04-13,0.1.2,Linux,3.12.3,uv,2
2026-04-13,0.1.2,Linux,3.12.3,pip,6
2026-04-06,0.1.2,Linux,3.12.3,uv,2
2026-04-06,0.1.2,Linux,3.12.3,pip,6
2026-04-04,0.1.2,Linux,3.12.3,uv,2
2026-04-04,0.1.2,Linux,3.12.3,pip,6
2026-03-24,0.1.2,Linux,3.10.20,pip,1
2026-03-03,0.1.2,Linux,3.13.11,pip,2
2026-01-20,0.1.2,Windows,3.11.0,pip,2
2026-01-15,0.1.2,Linux,3.13.5,pip,2
2026-01-14,0.1.2,Windows,3.13.9,pip,2
2026-01-12,0.1.2,Linux,3.14.2,pip,2
2026-01-09,0.1.2,iOS,3.13.1+,pip,1
2026-01-09,0.1.2,Windows,3.12.6,pip,2
2026-01-09,0.1.2,Linux,3.9.6,pip,2
2026-01-09,0.1.0,Linux,3.9.6,pip,2
2025-12-30,0.1.2,Linux,3.9.6,pip,1
2025-12-30,0.1.0,Linux,3.9.6,pip,1
2025-12-27,0.1.2,Linux,3.10.12,pip,1
2025-12-24,0.1.2,Windows,3.13.5,pip,2
2025-12-20,0.1.2,Windows,3.12.10,pip,2
2025-12-20,0.1.2,Windows,3.13.2,pip,2
2025-12-11,0.1.2,Linux,3.11.14,pip,2
2025-11-14,0.1.2,Windows,3.13.3,pip,2
2025-11-10,0.1.2,Linux,3.10.12,pip,2
2025-10-31,0.1.2,Linux,3.11.6,pip,2
2025-10-21,0.1.2,Linux,3.13.5,pip,2
2025-10-16,0.1.2,Linux,3.11.6,pip,2
2025-10-05,0.1.2,Linux,3.13.2,pip,2
2025-10-02,0.1.2,Linux,3.13.2,pip,2
2025-09-25,0.1.2,Darwin,3.13.7,pip,2
2025-09-15,0.1.2,Darwin,3.12.6,pip,2
2025-09-10,0.1.2,Linux,3.13.2,pip,1
2025-09-10,0.1.0,Linux,3.13.2,pip,1
2025-09-01,0.1.2,Windows,3.10.6,pip,1
2025-07-16,0.1.2,Darwin,3.11.9,pip,2
2025-07-09,0.1.2,Windows,3.10.11,pip,2
2025-06-23,0.1.2,Linux,3.11.8,pip,2
2025-06-10,0.1.2,Windows,3.13.3,pip,2
2025-06-09,0.1.2,Linux,3.13.2,pip,2
2025-05-19,0.1.2,Linux,3.12.10,pip,2
2025-05-12,0.1.2,Linux,3.12.3,pip,2
2025-05-06,0.1.2,Linux,3.12.3,pip,4
2025-05-06,0.1.2,Linux,3.11.11,pip,2
2025-04-20,0.1.2,Linux,3.13.2,pip,2
2025-04-14,0.1.2,Windows,3.13.3,pip,2
2025-04-03,0.1.2,Linux,3.13.2,pip,2
2025-02-28,0.1.2,Linux,3.10.12,pip,1
2025-02-24,0.1.2,Linux,3.12.8,pip,2
2025-02-11,0.1.0,Linux,3.9.6,pip,1
2025-02-11,0.1.2,Linux,3.9.6,pip,1
2025-02-10,0.1.2,Linux,3.10.12,pip,1
2025-01-19,0.1.2,Windows,3.12.0,pip,2
2025-01-17,0.1.2,Windows,3.13.1,pip,2
2025-01-12,0.1.2,Windows,3.13.1,pip,2
2025-01-11,0.1.2,Linux,3.12.8,pip,2
2025-01-01,0.1.2,Windows,3.13.1,pip,2
2024-12-25,0.1.2,Windows,3.13.1,pip,2
2024-12-18,0.1.2,Linux,3.11.2,pip,1
2024-12-16,0.1.2,Linux,3.12.8,pip,2
2024-11-25,0.1.2,Linux,3.10.15,pip,1
2024-11-25,0.1.2,Linux,3.10.12,pip,1
2024-11-11,0.1.0,Linux,3.10.15,pip,2
2024-11-02,0.1.2,Windows,3.11.5,pip,2
2024-10-30,0.1.0,Darwin,3.11.4,pip,2
2024-10-30,0.1.2,Darwin,3.11.4,pip,2
2024-10-25,0.1.2,Linux,3.12.3,pip,2
2024-10-25,0.1.2,Linux,3.10.15,pip,2
2024-10-18,0.1.2,Linux,3.10.0,pip,2
2024-10-17,0.1.2,Linux,3.12.7,pip,2
2024-10-07,0.1.2,Windows,3.12.0,pip,2
2024-10-06,0.1.2,Linux,3.10.12,pip,1
2024-10-05,0.1.2,Linux,3.12.6,pip,2
2024-10-03,0.1.2,Windows,3.12.4,pip,2
2024-09-27,0.1.2,Windows,3.12.0,pip,2
2024-09-27,0.1.2,Windows,3.10.11,pip,1
2024-09-18,0.1.2,Linux,3.12.6,pip,2
2024-09-17,0.1.2,Linux,3.12.1,pip,4
2024-09-17,0.1.2,Linux,3.10.12,pip,2
2024-09-17,0.1.2,Linux,3.12.3,pip,18
2024-09-13,0.1.2,Linux,3.11.9,pip,2
2024-09-08,0.1.2,Windows,3.12.3,pip,2
2024-08-27,0.1.2,Linux,3.10.12,pip,4
2024-08-11,0.1.2,Linux,3.12.3,pip,2
2024-08-11,0.1.2,Linux,3.11.9,pip,2
