day,version,system,python_version,installer,downloads
2026-03-17,0.1.0,Windows,3.12.10,pip,2
2026-01-31,0.1.0,Windows,3.11.0,pip,2
2026-01-17,0.1.0,Linux,3.13.11,pip,2
2026-01-15,0.1.0,Linux,3.13.5,pip,2
2026-01-12,0.1.0,Linux,3.14.2,pip,2
2026-01-11,0.1.0,Linux,3.9.6,pip,2
2026-01-02,0.1.0,Linux,3.10.12,pip,1
2025-12-04,0.1.0,Linux,3.9.6,pip,1
2025-10-21,0.1.0,Linux,3.14.0,pip,2
2025-10-17,0.1.0,Linux,3.11.6,pip,2
2025-09-16,0.1.0,Darwin,3.12.6,pip,2
2025-07-12,0.1.0,Windows,3.10.11,pip,2
2025-06-23,0.1.0,Linux,3.11.8,pip,2
2025-06-17,0.1.0,Linux,3.11.8,pip,1
2025-05-17,0.1.0,Linux,3.12.3,pip,2
2025-05-07,0.1.0,Linux,3.11.11,pip,2
2025-05-07,0.1.0,Linux,3.12.3,pip,2
2025-03-06,0.1.0,Linux,3.10.12,pip,1
2025-03-02,0.1.0,Linux,3.10.12,pip,1
2025-02-11,0.1.0,Linux,3.9.6,pip,1
2025-02-11,0.1.0,Linux,3.10.12,pip,1
2025-01-15,0.1.0,Linux,3.9.6,pip,2
2024-12-19,0.1.0,Linux,3.11.2,pip,1
2024-10-31,0.1.0,Darwin,3.11.4,pip,2
2024-10-25,0.1.0,Linux,3.10.15,pip,2
2024-10-25,0.1.0,Windows,3.10.0,pip,2
2024-10-25,0.1.0,Linux,3.12.3,pip,2
2024-10-18,0.1.0,Linux,3.10.0,pip,2
2024-08-13,0.1.0,Linux,3.12.3,pip,4
2024-08-04,0.1.0,Darwin,3.11.4,pip,2
2024-08-03,0.1.0,Linux,3.11.2,pip,1
2024-08-03,0.1.0,Linux,3.10.5,pip,2
2024-08-03,0.1.0,Linux,3.10.14,pip,6
2024-08-03,0.1.0,Linux,3.11.4,pip,2
2024-08-03,0.1.0,Linux,3.12.2,pip,2
2024-08-03,0.1.0,Linux,3.10.12,pip,5
