day,version,system,python_version,installer,downloads
2026-03-20,0.1.0,Windows,3.12.10,pip,2
2026-01-31,0.1.0,Windows,3.11.0,pip,2
2026-01-18,0.1.0,Linux,3.13.11,pip,2
2026-01-15,0.1.0,Linux,3.13.5,pip,2
2026-01-12,0.1.0,Linux,3.14.2,pip,2
2026-01-11,0.1.0,Linux,3.9.6,pip,2
2026-01-11,0.0.0,Linux,3.9.6,pip,2
2026-01-03,0.1.0,Linux,3.10.12,pip,1
2025-12-27,0.1.0,Windows,3.12.9,pip,2
2025-12-24,0.1.0,Linux,3.9.6,pip,1
2025-12-24,0.0.0,Linux,3.9.6,pip,1
2025-11-19,0.1.0,Linux,3.12.1,pip,1
2025-10-31,0.1.0,Linux,3.11.6,pip,2
2025-10-21,0.1.0,Linux,3.14.0,pip,2
2025-10-17,0.1.0,Linux,3.11.6,pip,2
2025-09-17,0.1.0,Darwin,3.12.6,pip,2
2025-07-13,0.1.0,Windows,3.10.11,pip,2
2025-06-25,0.1.0,Linux,3.11.8,pip,2
2025-06-08,0.1.0,Windows,3.13.3,pip,2
2025-06-06,0.1.0,Linux,3.10.12,pip,1
2025-06-03,0.1.0,Linux,3.12.3,pip,2
2025-06-03,0.1.0,Linux,3.11.11,pip,2
2025-05-27,0.1.0,Linux,3.12.3,pip,2
2025-05-18,0.1.0,Linux,3.13.2,pip,2
2025-05-11,0.1.0,Linux,3.12.3,pip,2
2025-03-07,0.1.0,Linux,3.10.12,pip,1
2025-03-06,0.1.0,Linux,3.9.18,pip,2
2025-02-27,0.1.0,Linux,3.10.12,pip,1
2025-02-11,0.1.0,Linux,3.9.6,pip,1
2025-02-11,0.0.0,Linux,3.9.6,pip,1
2025-02-09,0.1.0,Linux,3.10.12,pip,1
2024-12-26,0.1.0,Windows,3.8.6,pip,2
2024-12-20,0.1.0,Linux,3.11.2,pip,1
2024-11-07,0.1.0,Linux,3.10.2,pip,2
2024-10-31,0.1.0,Darwin,3.11.4,pip,2
2024-10-31,0.0.0,Darwin,3.11.4,pip,2
2024-10-26,0.1.0,Linux,3.12.3,pip,2
2024-10-25,0.1.0,Linux,3.8.20,pip,2
2024-10-21,0.1.0,Windows,3.10.0,pip,2
2024-10-12,0.1.0,Linux,3.9.18,pip,1
2024-09-23,0.1.0,Linux,3.10.12,pip,4
2024-08-31,0.1.0,Linux,3.9.6,pip,1
2024-08-31,0.0.0,Linux,3.9.6,pip,1
2024-08-17,0.1.0,Linux,3.9.18,pip,1
2024-08-15,0.1.0,Linux,3.12.3,pip,2
2024-08-14,0.1.0,Linux,3.12.3,pip,2
2024-08-09,0.1.0,Linux,3.10.12,pip,1
2024-08-07,0.1.0,Linux,3.12.4,pip,1
2024-08-06,0.1.0,Linux,3.10.12,pip,1
2024-07-22,0.1.0,Linux,3.9.6,pip,2
2024-07-22,0.0.0,Linux,3.9.6,pip,2
2024-06-08,0.1.0,Linux,3.10.12,pip,1
2024-06-02,0.1.0,Darwin,3.11.4,pip,2
2024-06-02,0.0.0,Darwin,3.11.4,pip,2
2024-06-01,0.1.0,Linux,3.8.11,pip,1
2024-06-01,0.1.0,Linux,3.12.2,pip,2
2024-06-01,0.1.0,Linux,3.11.2,pip,1
2024-06-01,0.1.0,Linux,3.10.14,pip,2
2024-06-01,0.1.0,Linux,3.10.12,pip,3
2024-06-01,0.1.0,Darwin,3.11.4,pip,2
2024-06-01,0.0.0,Darwin,3.11.4,pip,2
2024-05-31,0.0.0,Linux,3.12.2,pip,2
2024-05-31,0.0.0,Linux,3.11.2,pip,1
2024-05-31,0.0.0,Linux,3.10.5,pip,2
2024-05-31,0.0.0,Linux,3.8.11,pip,1
2024-05-31,0.0.0,Linux,3.10.12,pip,1
