day,version,system,python_version,installer,downloads
2026-03-22,0.2.1,Windows,3.12.10,pip,2
2026-02-01,0.2.1,Windows,3.11.0,pip,2
2026-01-18,0.2.1,Linux,3.13.11,pip,2
2026-01-15,0.2.1,Linux,3.13.5,pip,2
2026-01-12,0.2.1,Linux,3.14.2,pip,2
2026-01-10,0.1.4,Linux,3.9.6,pip,2
2026-01-10,0.1.0,Linux,3.9.6,pip,2
2026-01-10,0.2.1,Linux,3.9.6,pip,2
2026-01-04,0.2.1,Linux,3.10.12,pip,1
2025-11-30,0.2.1,Windows,3.12.5,pip,2
2025-11-01,0.2.1,Linux,3.11.6,pip,2
2025-10-21,0.2.1,Linux,3.14.0,pip,2
2025-10-21,0.2.1,Linux,3.11.6,pip,2
2025-10-18,0.2.1,Linux,3.11.6,pip,2
2025-09-18,0.2.1,Darwin,3.12.6,pip,2
2025-07-15,0.2.1,Windows,3.10.11,pip,2
2025-06-23,0.2.1,Linux,3.11.8,pip,2
2025-06-17,0.2.1,Linux,3.11.8,pip,1
2025-06-13,0.2.1,Linux,3.11.11,pip,2
2025-05-10,0.2.1,Linux,3.12.3,pip,2
2025-04-19,0.2.1,Linux,3.12.3,pip,2
2025-04-19,0.2.1,Linux,3.11.11,pip,2
2025-04-05,0.2.1,Linux,3.10.4,pip,2
2025-03-07,0.2.1,Linux,3.10.12,pip,1
2025-02-28,0.2.1,Linux,3.10.12,pip,1
2025-02-11,0.2.1,Linux,3.10.12,pip,1
2025-02-11,0.2.1,Linux,3.9.6,pip,1
2025-02-11,0.1.4,Linux,3.9.6,pip,1
2025-02-11,0.1.0,Linux,3.9.6,pip,1
2025-01-04,0.2.1,Windows,3.13.0,pip,2
2024-12-20,0.2.1,Linux,3.11.2,pip,1
2024-12-04,0.2.1,Windows,3.13.0,pip,1
2024-11-11,0.1.0,Linux,3.10.15,pip,2
2024-11-11,0.1.4,Linux,3.10.15,pip,2
2024-11-07,0.2.1,Linux,3.10.2,pip,2
2024-10-31,0.2.1,Darwin,3.11.4,pip,2
2024-10-31,0.1.4,Darwin,3.11.4,pip,2
2024-10-31,0.1.0,Darwin,3.11.4,pip,2
2024-10-26,0.2.1,Linux,3.12.3,pip,2
2024-10-25,0.2.1,Windows,3.10.0,pip,2
2024-10-25,0.2.1,Linux,3.10.15,pip,2
2024-09-24,0.2.1,Linux,3.11.8,pip,2
2024-09-20,0.2.1,Linux,3.10.12,pip,2
2024-09-17,0.2.1,Linux,3.10.12,pip,2
2024-09-01,0.2.1,Linux,3.10.12,pip,2
2024-08-28,0.2.1,Linux,3.9.6,pip,1
2024-08-28,0.1.4,Linux,3.9.6,pip,1
2024-08-28,0.1.0,Linux,3.9.6,pip,1
2024-08-16,0.2.1,Linux,3.12.3,pip,2
2024-08-15,0.2.1,Linux,3.12.3,pip,2
2024-08-09,0.2.1,Linux,3.10.12,pip,1
2024-08-08,0.2.1,Linux,3.10.12,pip,4
2024-08-06,0.2.1,Linux,3.10.12,pip,1
2024-07-22,0.1.0,Linux,3.9.6,pip,2
2024-07-22,0.1.4,Linux,3.9.6,pip,4
2024-07-22,0.2.1,Linux,3.9.6,pip,2
2024-06-13,0.2.1,Windows,3.11.2,pip,2
2024-06-06,0.2.1,Linux,3.10.12,pip,1
2024-05-26,0.2.1,Linux,3.10.12,pip,2
2024-05-15,0.2.1,Windows,3.12.2,pip,2
2024-05-15,0.2.1,Linux,3.12.2,pip,2
2024-05-15,0.2.1,Linux,3.11.6,pip,2
2024-05-15,0.2.1,Linux,3.11.2,pip,1
2024-05-15,0.2.1,Linux,3.10.14,pip,2
2024-05-15,0.2.1,Darwin,3.11.4,pip,2
2024-05-15,0.1.4,Darwin,3.11.4,pip,2
2024-05-15,0.1.0,Darwin,3.11.4,pip,2
2024-05-14,0.1.0,Linux,3.12.2,pip,4
2024-05-14,0.1.0,Linux,3.11.2,pip,1
2024-05-14,0.1.0,Linux,3.11.6,pip,2
2024-05-14,0.1.0,Linux,3.10.5,pip,2
2024-05-14,0.1.4,Linux,3.11.2,pip,1
2024-05-14,0.1.4,Linux,3.12.2,pip,2
2024-05-14,0.1.0,Linux,3.10.12,pip,1
