day,version,system,python_version,installer,downloads
2026-03-26,0.1.0,Windows,3.12.10,pip,2
2026-02-01,0.1.0,Windows,3.11.0,pip,2
2026-01-19,0.1.0,Linux,3.13.11,pip,2
2026-01-15,0.1.0,Linux,3.13.5,pip,2
2026-01-12,0.1.0,Linux,3.14.2,pip,2
2026-01-11,0.1.0,Linux,3.9.6,pip,2
2026-01-06,0.1.0,Linux,3.10.12,pip,2
2025-12-21,0.1.0,Linux,3.9.6,pip,1
2025-10-21,0.1.0,Linux,3.10.18,pip,2
2025-09-21,0.1.0,Linux,3.13.2,pip,2
2025-09-18,0.1.0,Darwin,3.12.6,pip,2
2025-07-16,0.1.0,Windows,3.10.11,pip,2
2025-06-24,0.1.0,Linux,3.11.8,pip,2
2025-06-17,0.1.0,Linux,3.11.8,pip,1
2025-05-18,0.1.0,Linux,3.12.3,pip,2
2025-04-22,0.1.0,Linux,3.12.3,pip,2
2025-04-22,0.1.0,Linux,3.11.11,pip,2
2025-03-11,0.1.0,Linux,3.10.12,pip,1
2025-03-02,0.1.0,Linux,3.10.12,pip,1
2025-03-01,0.1.0,Linux,3.11.4,pip,2
2025-02-13,0.1.0,Linux,3.10.12,pip,1
2025-02-11,0.1.0,Linux,3.9.6,pip,1
2024-12-20,0.1.0,Linux,3.11.2,pip,1
2024-11-13,0.1.0,Linux,3.10.2,pip,1
2024-11-12,0.1.0,Darwin,3.12.6,uv,2
2024-11-01,0.1.0,Darwin,3.11.6,pip,2
2024-10-26,0.1.0,Linux,3.12.3,pip,2
2024-10-25,0.1.0,Linux,3.10.15,pip,2
2024-10-23,0.1.0,Windows,3.10.0,pip,2
2024-10-19,0.1.0,Linux,3.11.4,pip,2
2024-10-17,0.1.0,Linux,3.11.4,pip,2
2024-08-30,0.1.0,Linux,3.9.6,pip,1
2024-08-27,0.1.0,Linux,3.9.6,pip,1
2024-08-18,0.1.0,Linux,3.12.3,pip,2
2024-08-16,0.1.0,Linux,3.12.3,pip,10
2024-08-09,0.1.0,Linux,3.10.12,pip,1
2024-08-08,0.1.0,Linux,3.12.4,pip,1
2024-08-07,0.1.0,Linux,3.10.12,pip,4
2024-07-15,0.1.0,Linux,3.9.6,pip,2
2024-06-07,0.1.0,Linux,3.10.12,pip,1
2024-06-01,0.1.0,Darwin,3.11.6,pip,2
2024-05-27,0.1.0,Linux,3.10.12,pip,2
2024-03-11,0.1.0,Linux,3.10.12,pip,4
2024-03-11,0.1.0,Darwin,3.11.4,pip,4
2024-03-10,0.1.0,Linux,3.10.5,pip,2
2024-03-09,0.1.0,Linux,3.11.2,pip,1
2024-03-09,0.1.0,Linux,3.10.13,pip,4
2024-03-09,0.1.0,Linux,3.10.12,pip,1
