day,version,system,python_version,installer,downloads
2026-04-25,0.0.1,Linux,3.8.20,pip,2
2026-04-23,0.0.1,Windows,3.13.13,pip,2
2026-02-07,0.0.1,Windows,3.11.0,pip,2
2026-01-21,0.0.1,Linux,3.10.12,pip,2
2026-01-20,0.0.1,Linux,3.13.11,pip,2
2026-01-15,0.0.1,Linux,3.13.5,pip,2
2026-01-12,0.0.1,Linux,3.14.2,pip,1
2026-01-09,0.0.1,Linux,3.9.6,pip,2
2025-12-17,0.0.1,Linux,3.9.6,pip,1
2025-10-21,0.0.1,Linux,3.10.18,pip,2
2025-06-24,0.0.1,Linux,3.11.8,pip,2
2025-06-18,0.0.1,Linux,3.9.22,pip,3
2025-06-15,0.0.1,Linux,3.9.22,pip,1
2025-06-13,0.0.1,Linux,3.9.22,pip,1
2025-06-12,0.0.1,Linux,3.9.22,pip,1
2025-05-21,0.0.1,Linux,3.12.3,pip,2
2025-05-18,0.0.1,Linux,3.9.22,pip,2
2025-05-14,0.0.1,Linux,3.9.22,pip,1
2025-05-07,0.0.1,Linux,3.12.3,pip,2
2025-05-07,0.0.1,Linux,3.11.11,pip,2
2025-03-12,0.0.1,Linux,3.10.12,pip,1
2025-03-06,0.0.1,Linux,3.9.18,pip,2
2025-02-27,0.0.1,Linux,3.10.12,pip,1
2025-02-11,0.0.1,Linux,3.9.6,pip,1
2025-02-06,0.0.1,Linux,3.10.12,pip,1
2024-11-28,0.0.1,Linux,3.10.2,pip,2
2024-10-29,0.0.1,Linux,3.9.18,pip,2
2024-10-25,0.0.1,Linux,3.8.20,pip,2
2024-10-24,0.0.1,Linux,3.8.20,pip,2
2024-10-22,0.0.1,Windows,3.11.5,pip,2
2024-10-22,0.0.1,Linux,3.8.19,pip,1
2024-10-20,0.0.1,Windows,3.11.5,pip,1
2024-10-18,0.0.1,Linux,3.8.0,pip,2
2024-10-14,0.0.1,Linux,3.9.18,pip,2
2024-09-14,0.0.1,Linux,3.10.12,pip,2
2024-09-06,0.0.1,Linux,3.10.12,pip,4
2024-08-31,0.0.1,Linux,3.9.6,pip,1
2024-08-26,0.0.1,Linux,3.12.3,pip,2
2024-08-23,0.0.1,Linux,3.9.6,pip,1
2024-08-22,0.0.1,Linux,3.12.3,pip,1
2024-08-19,0.0.1,Linux,3.9.18,pip,2
2024-08-14,0.0.1,Linux,3.10.13,pip,1
2024-08-08,0.0.1,Linux,3.10.12,pip,2
2024-08-05,0.0.1,Linux,3.10.12,pip,1
2024-06-07,0.0.1,Linux,3.10.12,pip,1
2024-06-06,0.0.1,Darwin,3.11.6,pip,2
2024-02-25,0.0.1,Linux,3.11.8,pip,1
2024-02-10,0.0.1,Darwin,3.11.4,pip,2
2024-02-04,0.0.1,Darwin,3.11.4,pip,2
