day,version,system,python_version,installer,downloads
2026-04-26,0.1.0,Windows,3.13.13,pip,2
2026-03-21,0.1.0,Linux,3.11.8,pip,2
2026-02-20,0.1.0,Linux,3.11.8,pip,2
2026-01-31,0.1.0,Linux,3.10.12,pip,2
2026-01-19,0.1.0,Linux,3.13.11,pip,2
2026-01-15,0.1.0,Linux,3.13.5,pip,2
2026-01-12,0.1.0,Linux,3.14.2,pip,2
2026-01-09,0.1.0,Linux,3.9.6,pip,2
2025-10-21,0.1.0,Linux,3.10.18,pip,2
2025-06-24,0.1.0,Linux,3.11.8,pip,2
2025-05-26,0.1.0,Linux,3.12.3,pip,2
2025-05-07,0.1.0,Linux,3.11.11,pip,2
2025-04-27,0.1.0,Linux,3.12.10,pip,2
2025-04-18,0.1.0,Linux,3.12.3,pip,2
2025-04-18,0.1.0,Linux,3.11.11,pip,2
2025-03-07,0.1.0,Linux,3.10.12,pip,1
2025-03-01,0.1.0,Linux,3.10.12,pip,1
2025-02-13,0.1.0,Linux,3.10.12,pip,1
2025-02-11,0.1.0,Linux,3.9.6,pip,1
2025-01-14,0.1.0,Linux,3.9.6,pip,2
2024-11-19,0.1.0,Darwin,3.11.4,pip,2
2024-10-30,0.1.0,Linux,3.12.3,pip,2
2024-10-28,0.1.0,Darwin,3.11.4,pip,2
2024-10-18,0.1.0,Linux,3.11.2,pip,1
2024-10-18,0.1.0,Linux,3.10.12,pip,2
