day,version,system,python_version,installer,downloads
2026-05-02,1.0.0,Linux,3.10.20,pip,2
2026-04-30,1.0.0,Linux,3.10.12,pip,2
2026-04-29,1.0.0,Linux,3.10.12,pip,2
2026-04-28,1.0.0,Windows,3.14.4,uv,1
2026-04-28,1.0.0,Windows,3.13.13,pip,2
2026-04-28,1.0.0,Linux,3.12.3,pip,2
2026-04-28,1.0.0,Linux,3.10.12,pip,2
2026-04-28,0.9.2,Windows,3.11.4,pip,4
2026-04-28,0.9.2,Linux,3.10.19,pip,2
2026-04-25,1.0.0,Windows,3.14.4,pip,2
2026-04-25,0.9.2,Linux,3.7.17,pip,1
2026-04-24,1.0.0,Linux,3.12.11,pip,2
2026-04-24,1.0.0,Windows,3.13.2,pip,2
2026-04-24,1.0.0,Windows,3.13.5,pip,2
2026-04-23,1.0.0,Windows,3.12.7,pip,2
2026-04-22,1.0.0,Linux,3.11.15,pip,2
2026-04-20,1.0.0,Linux,3.10.12,pip,2
2026-04-18,1.0.0,Linux,3.10.20,pip,2
2026-04-17,1.0.0,Linux,3.12.3,pip,2
2026-04-17,0.9.2,Linux,3.7.17,pip,1
2026-04-17,0.9.2,Linux,3.10.19,pip,1
2026-04-16,1.0.0,Darwin,3.12.11,uv,2
2026-04-16,0.9.2,Linux,3.10.19,pip,2
2026-04-15,1.0.0,Linux,3.11.15,pip,2
2026-04-14,0.9.2,Linux,3.10.19,pip,2
2026-04-13,0.9.2,Linux,3.10.19,pip,2
2026-04-13,1.0.0,Darwin,3.9.6,pip,1
2026-04-11,1.0.0,Windows,3.12.9,pip,2
2026-04-10,0.9.2,Linux,3.10.19,pip,2
2026-04-08,1.0.0,Windows,3.14.2,pip,2
2026-04-07,0.9.2,Linux,3.10.19,pip,8
2026-04-06,1.0.0,Linux,3.12.3,pip,2
2026-04-06,0.9.2,Linux,3.10.19,pip,8
2026-04-04,0.9.2,Linux,3.7.17,pip,1
2026-04-03,1.0.0,Linux,3.13.2,pip,2
2026-04-01,0.9.2,Linux,3.10.19,pip,4
2026-03-31,1.0.0,Linux,3.11.14,uv,2
2026-03-31,0.9.2,Linux,3.10.19,pip,12
2026-03-30,1.0.0,Windows,3.12.0,pip,2
2026-03-30,1.0.0,Windows,3.13.0,pip,2
2026-03-29,1.0.0,Windows,3.14.3,pip,2
2026-03-29,1.0.0,Linux,3.12.3,pip,2
2026-03-29,1.0.0,Linux,3.12.13,pip,5
2026-03-29,1.0.0,Linux,3.11.15,pip,2
2026-03-28,1.0.0,Windows,3.14.2,pip,2
2026-03-28,1.0.0,Windows,3.13.11,pip,2
2026-03-28,1.0.0,Windows,3.10.11,pip,1
2026-03-28,1.0.0,Linux,3.11.2,pip,2
2026-03-27,1.0.0,Linux,3.12.3,pip,2
2026-03-26,0.9.2,Linux,3.10.19,pip,7
2026-03-26,1.0.0,Linux,3.12.13,pip,2
2026-03-25,0.9.2,Linux,3.7.17,pip,1
2026-03-25,0.9.2,Linux,3.10.19,pip,12
2026-03-25,1.0.0,Linux,3.12.3,pip,2
2026-03-24,0.9.2,Linux,3.10.19,pip,14
2026-03-23,1.0.0,Linux,3.11.2,pip,2
2026-03-23,1.0.0,Linux,3.11.15,pip,2
2026-03-23,1.0.0,Linux,3.10.20,pip,4
2026-03-23,0.9.2,Linux,3.10.19,pip,18
2026-03-22,1.0.0,Linux,3.12.3,pip,2
2026-03-22,1.0.0,Linux,3.12.13,pip,4
2026-03-22,0.9.2,Linux,3.10.19,pip,7
2026-03-21,1.0.0,Linux,3.12.3,pip,2
2026-03-20,0.9.2,Linux,3.10.19,pip,7
2026-03-20,1.0.0,Linux,3.12.13,pip,2
2026-03-19,0.9.2,Linux,3.12.3,pip,1
2026-03-19,0.9.2,Linux,3.7.17,pip,1
2026-03-18,0.9.2,Linux,3.10.19,pip,15
2026-03-17,1.0.0,Windows,3.12.5,pip,2
2026-03-17,0.9.2,Linux,3.10.19,pip,4
2026-03-16,0.9.2,Linux,3.7.17,pip,1
2026-03-16,0.9.2,Linux,3.10.19,pip,17
2026-03-15,0.9.2,Linux,3.10.19,pip,11
