day,version,system,python_version,installer,downloads
2026-04-30,0.2.0,Windows,3.11.9,pip,2
2026-04-29,0.2.0,Windows,3.13.13,pip,2
2026-04-25,0.2.0,Linux,3.10.19,pip,2
2026-04-12,0.2.0,Linux,3.13.7,pip,2
2026-04-12,0.2.0,Linux,3.13.13,pip,2
2026-04-09,0.2.0,Linux,3.12.13,pip,2
2026-04-03,0.2.0,Windows,3.11.4,pip,2
2026-02-14,0.2.0,Linux,3.10.12,pip,2
2026-02-05,0.2.0,Linux,3.13.4,uv,2
2026-01-20,0.2.0,Linux,3.13.11,pip,2
2026-01-15,0.2.0,Linux,3.13.5,pip,2
2026-01-12,0.2.0,Linux,3.14.2,pip,2
2026-01-08,0.2.0,Linux,3.9.6,pip,2
2026-01-08,0.1.0,Linux,3.9.6,pip,2
2026-01-03,0.2.0,Linux,3.12.11,pip,2
2025-12-29,0.2.0,Darwin,3.12.11,uv,2
2025-12-24,0.1.0,Linux,3.9.6,pip,1
2025-12-24,0.2.0,Linux,3.9.6,pip,1
2025-12-13,0.2.0,Linux,3.12.11,pip,2
2025-12-02,0.2.0,Windows,3.12.5,pip,2
2025-10-21,0.2.0,Linux,3.10.18,pip,2
2025-10-20,0.2.0,Linux,3.12.3,pip,2
2025-10-18,0.2.0,Linux,3.11.6,pip,3
2025-10-10,0.2.0,Linux,3.13.7,pip,2
2025-10-04,0.2.0,Linux,3.13.7,pip,2
2025-10-04,0.2.0,Linux,3.12.11,pip,10
2025-10-01,0.2.0,Windows,3.13.4,pip,2
2025-09-30,0.2.0,Windows,3.13.5,pip,6
2025-09-28,0.2.0,Windows,3.13.5,pip,2
2025-09-28,0.2.0,Linux,3.12.1,pip,2
2025-08-25,0.2.0,Windows,3.13.1,pip,2
2025-08-12,0.2.0,Linux,3.12.11,pip,19
2025-08-11,0.2.0,Linux,3.12.11,pip,50
2025-08-10,0.2.0,Linux,3.12.11,pip,2
2025-08-02,0.2.0,Linux,3.12.11,pip,2
2025-08-01,0.2.0,Linux,3.12.8,pip,16
2025-08-01,0.2.0,Linux,3.12.11,pip,2
2025-07-20,0.2.0,Windows,3.10.7,pip,2
2025-07-02,0.2.0,Darwin,3.13.5,pip,2
2025-06-29,0.2.0,Linux,3.12.11,pip,2
2025-06-24,0.2.0,Linux,3.11.8,pip,2
2025-06-21,0.2.0,Linux,3.12.8,pip,6
2025-06-20,0.2.0,Linux,3.12.8,pip,10
2025-05-30,0.2.0,Linux,3.12.8,pip,2
2025-05-16,0.2.0,Linux,3.13.3,pip,2
2025-05-15,0.2.0,Linux,3.11.12,pip,2
2025-05-15,0.2.0,Linux,3.12.3,pip,2
2025-05-11,0.2.0,Windows,3.13.2,uv,2
2025-05-10,0.2.0,Windows,3.13.3,pip,2
2025-05-09,0.2.0,Linux,3.12.3,pip,2
2025-05-07,0.2.0,Linux,3.12.3,pip,2
2025-05-07,0.2.0,Linux,3.11.11,pip,2
2025-04-23,0.2.0,Linux,3.10.12,pip,1
2025-04-17,0.2.0,Linux,3.12.8,pip,16
2025-04-14,0.2.0,Linux,3.12.8,pip,6
2025-04-14,0.2.0,Windows,3.13.3,pip,2
2025-04-11,0.2.0,Linux,3.12.8,pip,14
2025-04-04,0.2.0,Linux,3.12.8,pip,16
2025-03-31,0.2.0,Linux,3.12.8,pip,6
2025-03-28,0.2.0,Linux,3.12.8,pip,6
2025-03-27,0.2.0,Linux,3.12.8,pip,4
2025-03-26,0.2.0,Linux,3.12.8,pip,10
2025-03-24,0.2.0,Windows,3.12.9,pip,2
2025-03-20,0.2.0,Linux,3.11.4,pip,2
2025-03-12,0.2.0,Windows,3.12.7,pip,2
2025-03-12,0.2.0,Linux,3.12.8,pip,12
2025-03-11,0.2.0,Linux,3.12.8,pip,8
2025-03-09,0.2.0,Linux,3.10.12,pip,1
2025-03-07,0.2.0,Linux,3.12.8,pip,6
2025-02-28,0.2.0,Linux,3.12.8,pip,6
2025-02-27,0.2.0,Linux,3.10.12,pip,1
2025-02-20,0.2.0,Windows,3.10.6,pip,1
2025-02-11,0.2.0,Linux,3.9.6,pip,1
2025-02-11,0.1.0,Linux,3.9.6,pip,1
2025-02-10,0.2.0,Linux,3.10.12,pip,1
2025-02-04,0.2.0,Linux,3.12.8,pip,8
2025-02-03,0.2.0,Linux,3.12.8,pip,2
2025-02-03,0.2.0,Linux,3.12.6,pip,16
2025-02-02,0.2.0,Linux,3.12.6,pip,2
2025-01-31,0.2.0,Linux,3.12.6,pip,58
2025-01-17,0.2.0,Linux,3.12.3,pip,2
2024-12-18,0.2.0,Linux,3.12.6,pip,2
2024-12-17,0.2.0,Windows,3.11.5,pip,2
2024-12-10,0.2.0,Linux,3.12.6,pip,2
2024-12-05,0.2.0,Linux,3.10.2,pip,2
2024-11-19,0.2.0,Linux,3.12.6,pip,20
2024-11-18,0.2.0,Linux,3.12.6,pip,12
2024-11-14,0.2.0,Linux,3.12.6,pip,12
2024-11-13,0.2.0,Linux,3.12.6,pip,6
2024-11-12,0.2.0,Linux,3.12.6,pip,8
2024-11-11,0.2.0,Linux,3.12.7,pip,14
2024-11-11,0.2.0,Linux,3.12.6,pip,20
2024-11-11,0.1.0,Linux,3.10.15,pip,2
2024-11-08,0.2.0,Linux,3.12.7,pip,30
2024-11-01,0.2.0,Windows,3.10.0,pip,2
2024-10-30,0.2.0,Linux,3.12.3,pip,2
2024-10-25,0.2.0,Linux,3.10.15,pip,2
2024-10-18,0.2.0,Linux,3.10.0,pip,2
2024-10-10,0.2.0,Linux,3.12.6,pip,16
2024-10-08,0.2.0,Linux,3.12.6,pip,10
2024-10-07,0.2.0,Linux,3.12.6,pip,2
2024-10-04,0.2.0,Linux,3.12.6,pip,2
2024-10-03,0.2.0,Linux,3.10.12,pip,2
2024-09-30,0.2.0,Linux,3.12.6,pip,6
2024-09-28,0.2.0,Linux,3.12.6,pip,2
2024-09-27,0.2.0,Linux,3.12.6,pip,8
2024-09-17,0.2.0,Linux,3.10.12,pip,2
2024-09-17,0.2.0,Linux,3.12.6,pip,6
2024-09-16,0.2.0,Linux,3.12.6,pip,54
2024-09-13,0.2.0,Windows,3.11.9,pip,1
2024-09-05,0.2.0,Linux,3.12.5,pip,2
2024-09-04,0.2.0,Linux,3.12.5,pip,2
2024-09-04,0.2.0,Darwin,3.11.7,pip,2
2024-09-03,0.2.0,Linux,3.10.12,pip,3
2024-08-26,0.2.0,Linux,3.12.3,pip,2
2024-08-16,0.2.0,Linux,3.12.5,pip,2
2024-08-09,0.2.0,Linux,3.10.12,pip,1
2024-08-08,0.2.0,Linux,3.10.12,pip,4
2024-08-08,0.2.0,Linux,3.12.5,pip,2
2024-08-06,0.2.0,Linux,3.10.12,pip,1
2024-08-03,0.2.0,Linux,3.12.4,pip,4
2024-08-02,0.2.0,Linux,3.10.12,pip,12
2024-07-31,0.2.0,Linux,3.10.12,pip,26
2024-07-26,0.2.0,Linux,3.12.4,pip,18
2024-07-25,0.2.0,Linux,3.12.4,pip,4
2024-07-22,0.2.0,Linux,3.12.4,pip,4
2024-07-22,0.2.0,Darwin,3.11.7,pip,2
2024-07-11,0.2.0,Linux,3.12.4,pip,2
2024-06-27,0.2.0,Linux,3.12.4,pip,2
2024-06-26,0.2.0,Windows,3.10.14,pip,2
2024-06-23,0.2.0,Linux,3.12.4,pip,2
2024-06-18,0.2.0,Linux,3.12.4,pip,2
2024-06-14,0.2.0,Linux,3.12.4,pip,2
2024-06-08,0.2.0,Linux,3.12.4,pip,2
2024-06-07,0.2.0,Linux,3.10.12,pip,2
2024-06-06,0.2.0,Linux,3.12.3,pip,2
2024-06-04,0.2.0,Linux,3.12.3,pip,2
2024-05-29,0.2.0,Linux,3.12.3,pip,2
2024-05-23,0.2.0,Linux,3.12.3,pip,4
2024-05-22,0.2.0,Linux,3.12.3,pip,2
2024-05-16,0.2.0,Windows,3.12.3,pip,2
2024-05-16,0.2.0,Linux,3.12.3,pip,8
2024-05-15,0.2.0,Linux,3.12.3,pip,4
2024-05-15,0.2.0,Linux,3.11.7,pip,2
2024-05-06,0.2.0,Linux,3.11.7,pip,4
2024-04-29,0.2.0,Linux,3.11.7,pip,2
2024-04-18,0.2.0,Linux,3.11.6,pip,2
2024-03-28,0.2.0,Darwin,3.11.7,pip,2
2024-03-04,0.2.0,Linux,3.10.12,pip,2
2024-02-20,0.2.0,Windows,3.10.9,pip,1
2024-02-18,0.2.0,Darwin,3.11.4,pip,2
2024-02-18,0.1.0,Darwin,3.11.4,pip,2
2024-02-15,0.2.0,Windows,3.11.3,pip,1
2024-02-11,0.2.0,Darwin,3.11.4,pip,2
2024-02-11,0.1.0,Darwin,3.11.4,pip,2
2024-01-24,0.2.0,Windows,3.11.2,pip,2
2024-01-15,0.2.0,Linux,3.11.4,pip,2
2024-01-10,0.2.0,Windows,3.3.2,pip,1
2024-01-09,0.2.0,Darwin,3.10.8,pip,2
2024-01-03,0.2.0,Windows,3.3.2,pip,2
