day,version,downloads
2026-06-19,0.1.0,2
2026-06-18,0.1.0,3
2026-06-17,0.1.0,3
2026-06-16,0.1.0,4
2026-06-15,0.1.0,3
2026-06-14,0.1.0,5
2026-06-13,0.1.0,4
2026-06-12,0.1.0,4
2026-06-11,0.1.0,2
2026-06-10,0.1.0,6
2026-06-09,0.1.0,2
2026-06-08,0.1.0,1
2026-06-07,0.1.0,7
2026-06-06,0.1.0,24
2026-06-05,0.1.0,12
2026-06-04,0.1.0,7
2026-06-03,0.1.0,7
2026-06-01,0.1.0,2
2026-05-31,0.1.0,2
2026-05-30,0.1.0,4
2026-05-29,0.1.0,3
2026-05-28,0.1.0,4
2026-05-26,0.1.0,5
2026-05-25,0.1.0,1
2026-05-24,0.1.0,3
2026-05-23,0.1.0,4
2026-05-22,0.1.0,2
2026-05-21,0.1.0,4
2026-05-19,0.1.0,2
2026-05-18,0.1.0,3
2026-05-17,0.1.0,1
2026-05-16,0.1.0,3
2026-05-15,0.1.0,5
2026-05-14,0.1.0,7
2026-05-13,0.1.0,14
2026-05-09,0.1.0,5
2026-05-08,0.1.0,1
2026-05-06,0.1.0,10
2026-05-05,0.1.0,6
2026-05-02,0.1.0,1
2026-04-29,0.1.0,1
2026-04-28,0.1.0,11
2026-04-27,0.1.0,2
2026-04-26,0.1.0,8
2026-04-24,0.1.0,3
2026-04-22,0.1.0,3
2026-04-21,0.1.0,4
2026-04-20,0.1.0,6
2026-04-19,0.1.0,2
2026-04-18,0.1.0,4
2026-04-17,0.1.0,2
2026-04-16,0.1.0,3
2026-04-15,0.1.0,5
2026-04-14,0.1.0,6
2026-04-13,0.1.0,1
2026-04-12,0.1.0,2
2026-04-11,0.1.0,2
2026-04-10,0.1.0,7
2026-04-09,0.1.0,4
2026-04-08,0.1.0,1
2026-04-07,0.1.0,3
2026-04-06,0.1.0,4
2026-04-05,0.1.0,4
2026-04-04,0.1.0,2
2026-04-03,0.1.0,2
2026-04-01,0.1.0,2
2026-03-31,0.1.0,2
2026-03-30,0.1.0,4
2026-03-29,0.1.0,3
2026-03-27,0.1.0,4
2026-03-24,0.1.0,1
2026-03-23,0.1.0,4
2026-03-21,0.1.0,2
2026-03-20,0.1.0,5
2026-03-19,0.1.0,7
2026-03-18,0.1.0,4
2026-03-17,0.1.0,2
2026-03-16,0.1.0,4
2026-03-15,0.1.0,2
2026-03-14,0.1.0,6
2026-03-13,0.1.0,6
2026-03-12,0.1.0,4
2026-03-11,0.1.0,2
2026-03-10,0.1.0,7
2026-03-09,0.1.0,4
2026-03-08,0.1.0,4
2026-03-07,0.1.0,5
2026-03-06,0.1.0,5
2026-03-05,0.1.0,3
2026-03-04,0.1.0,7
2026-03-03,0.1.0,6
2026-03-02,0.1.0,10
2026-03-01,0.1.0,4
2026-02-28,0.1.0,2
2026-02-27,0.1.0,10
2026-02-26,0.1.0,2
2026-02-25,0.1.0,12
2026-02-24,0.1.0,1
2026-02-23,0.1.0,2
2026-02-22,0.1.0,2
2026-02-21,0.1.0,2
2026-02-20,0.1.0,3
2026-02-19,0.1.0,4
2026-02-18,0.1.0,6
2026-02-17,0.1.0,4
2026-02-16,0.1.0,18
2026-02-15,0.1.0,8
2026-02-14,0.1.0,53
2026-02-13,0.1.0,200
