day,version,downloads
2026-07-28,0.1.2,2
2026-07-28,0.1.0,1
2026-07-27,0.1.2,1
2026-07-25,0.1.2,1
2026-07-24,0.1.2,1
2026-07-23,0.1.2,5
2026-07-20,0.1.2,5
2026-07-20,0.1.0,2
2026-07-19,0.1.2,5
2026-07-19,0.1.0,5
2026-07-16,0.1.2,3
2026-07-16,0.1.0,1
2026-07-15,0.1.2,2
2026-07-14,0.1.2,2
2026-07-10,0.1.0,2
2026-07-10,0.1.2,2
2026-07-09,0.1.2,3
2026-07-09,0.1.0,2
2026-07-06,0.1.2,3
2026-07-06,0.1.0,3
2026-07-05,0.1.0,1
2026-07-05,0.1.2,1
2026-07-03,0.1.2,3
2026-06-30,0.1.2,2
2026-06-30,0.1.0,1
2026-06-29,0.1.2,6
2026-06-29,0.1.0,4
2026-06-26,0.1.2,3
2026-06-26,0.1.0,2
2026-06-25,0.1.0,2
2026-06-25,0.1.2,2
2026-06-24,0.1.2,2
2026-06-23,0.1.2,2
2026-06-22,0.1.0,2
2026-06-22,0.1.2,2
2026-06-21,0.1.2,4
2026-06-20,0.1.2,3
2026-06-19,0.1.2,2
2026-06-18,0.1.2,1
2026-06-15,0.1.2,1
2026-06-14,0.1.2,1
2026-06-14,0.1.0,1
2026-06-13,0.1.2,1
2026-06-12,0.1.2,1
2026-06-11,0.1.0,2
2026-06-10,0.1.2,4
2026-06-09,0.1.2,3
2026-06-09,0.1.0,3
2026-06-08,0.1.0,1
2026-06-08,0.1.2,1
2026-06-07,0.1.2,6
2026-06-07,0.1.0,2
2026-06-06,0.1.2,23
2026-06-06,0.1.0,12
2026-06-05,0.1.2,12
2026-06-05,0.1.0,6
2026-06-04,0.1.2,5
2026-06-04,0.1.0,2
2026-06-03,0.1.2,3
2026-06-02,0.1.2,2
2026-06-02,0.1.0,2
2026-06-01,0.1.2,1
2026-05-31,0.1.2,4
2026-05-31,0.1.0,3
2026-05-30,0.1.2,3
2026-05-29,0.1.2,3
2026-05-28,0.1.2,2
2026-05-28,0.1.0,2
2026-05-26,0.1.2,3
2026-05-26,0.1.0,2
2026-05-24,0.1.0,2
2026-05-24,0.1.2,2
2026-05-23,0.1.2,2
2026-05-23,0.1.0,2
2026-05-22,0.1.2,3
2026-05-22,0.1.0,3
2026-05-21,0.1.2,3
2026-05-21,0.1.0,2
2026-05-20,0.1.2,3
2026-05-20,0.1.0,2
2026-05-18,0.1.2,1
2026-05-16,0.1.2,3
2026-05-14,0.1.2,3
2026-05-13,0.1.2,5
2026-05-13,0.1.0,3
2026-05-11,0.1.2,2
2026-05-11,0.1.0,2
2026-05-10,0.1.2,1
2026-05-10,0.1.0,1
2026-05-09,0.1.2,5
2026-05-09,0.1.0,4
2026-05-08,0.1.2,2
2026-05-06,0.1.2,9
2026-05-06,0.1.0,5
2026-05-05,0.1.2,6
2026-05-05,0.1.0,4
2026-05-03,0.1.2,1
2026-05-03,0.1.0,1
